data_pid,water_lvl,lib_cap
1065215000,320.27,-3.08
1065215000,320.28,-3.09
1065215000,320.29,-3.1
1065215000,320.3,-3.11
1065215000,320.31,-3.11
1065215000,320.32,-3.12
1065215000,320.33,-3.13
1065215000,320.34,-3.14
1065215000,320.35,-3.15
1065215000,320.36,-3.16
1065215000,320.37,-3.17
1065215000,320.38,-3.17
1065215000,320.39,-3.18
1065215000,320.4,-3.19
1065215000,320.41,-3.2
1065215000,320.42,-3.21
1065215000,320.43,-3.22
1065215000,320.44,-3.22
1065215000,320.45,-3.23
1065215000,320.46,-3.24
1065215000,320.47,-3.25
1065215000,320.48,-3.26
1065215000,320.49,-3.26
1065215000,320.5,-3.27
1065215000,320.51,-3.28
1065215000,320.52,-3.29
1065215000,320.53,-3.29
1065215000,320.54,-3.3
1065215000,320.55,-3.31
1065215000,320.56,-3.32
1065215000,320.57,-3.33
1065215000,320.58,-3.33
1065215000,320.59,-3.34
1065215000,320.6,-3.35
1065215000,320.61,-3.36
1065215000,320.62,-3.36
1065215000,320.63,-3.37
1065215000,320.64,-3.38
1065215000,320.65,-3.39
1065215000,320.66,-3.39
1065215000,320.67,-3.4
1065215000,320.68,-3.41
1065215000,320.69,-3.41
1065215000,320.7,-3.42
1065215000,320.71,-3.43
1065215000,320.72,-3.44
1065215000,320.73,-3.44
1065215000,320.74,-3.45
1065215000,320.75,-3.46
1065215000,320.76,-3.46
1065215000,320.77,-3.47
1065215000,320.78,-3.48
1065215000,320.79,-3.48
1065215000,320.8,-3.49
1065215000,320.81,-3.5
1065215000,320.82,-3.5
1065215000,320.83,-3.51
1065215000,320.84,-3.52
1065215000,320.85,-3.52
1065215000,320.86,-3.53
1065215000,320.87,-3.54
1065215000,320.88,-3.54
1065215000,320.89,-3.55
1065215000,320.9,-3.56
1065215000,320.91,-3.56
1065215000,320.92,-3.57
1065215000,320.93,-3.57
1065215000,320.94,-3.58
1065215000,320.95,-3.59
1065215000,320.96,-3.59
1065215000,320.97,-3.6
1065215000,320.98,-3.6
1065215000,320.99,-3.61
1065215000,321.0,-3.62
1065215000,321.01,-3.62
1065215000,321.02,-3.63
1065215000,321.03,-3.63
1065215000,321.04,-3.64
1065215000,321.05,-3.65
1065215000,321.06,-3.65
1065215000,321.07,-3.66
1065215000,321.08,-3.66
1065215000,321.09,-3.67
1065215000,321.1,-3.67
1065215000,321.11,-3.68
1065215000,321.12,-3.69
1065215000,321.13,-3.69
1065215000,321.14,-3.7
1065215000,321.15,-3.7
1065215000,321.16,-3.71
1065215000,321.17,-3.71
1065215000,321.18,-3.72
1065215000,321.19,-3.72
1065215000,321.2,-3.73
1065215000,321.21,-3.73
1065215000,321.22,-3.74
1065215000,321.23,-3.74
1065215000,321.24,-3.75
1065215000,321.25,-3.75
1065215000,321.26,-3.76
1065215000,321.27,-3.76
1065215000,321.28,-3.77
1065215000,321.29,-3.77
1065215000,321.3,-3.78
1065215000,321.31,-3.78
1065215000,321.32,-3.79
1065215000,321.33,-3.79
1065215000,321.34,-3.8
1065215000,321.35,-3.8
1065215000,321.36,-3.81
1065215000,321.37,-3.81
1065215000,321.38,-3.82
1065215000,321.39,-3.82
1065215000,321.4,-3.82
1065215000,321.41,-3.83
1065215000,321.42,-3.83
1065215000,321.43,-3.84
1065215000,321.44,-3.84
1065215000,321.45,-3.85
1065215000,321.46,-3.85
1065215000,321.47,-3.86
1065215000,321.48,-3.86
1065215000,321.49,-3.86
1065215000,321.5,-3.87
1065215000,321.51,-3.87
1065215000,321.52,-3.88
1065215000,321.53,-3.88
1065215000,321.54,-3.88
1065215000,321.55,-3.89
1065215000,321.56,-3.89
1065215000,321.57,-3.9
1065215000,321.58,-3.9
1065215000,321.59,-3.9
1065215000,321.6,-3.91
1065215000,321.61,-3.91
1065215000,321.62,-3.92
1065215000,321.63,-3.92
1065215000,321.64,-3.92
1065215000,321.65,-3.93
1065215000,321.66,-3.93
1065215000,321.67,-3.93
1065215000,321.68,-3.94
1065215000,321.69,-3.94
1065215000,321.7,-3.94
1065215000,321.71,-3.95
1065215000,321.72,-3.95
1065215000,321.73,-3.95
1065215000,321.74,-3.96
1065215000,321.75,-3.96
1065215000,321.76,-3.96
1065215000,321.77,-3.97
1065215000,321.78,-3.97
1065215000,321.79,-3.97
1065215000,321.8,-3.98
1065215000,321.81,-3.98
1065215000,321.82,-3.98
1065215000,321.83,-3.99
1065215000,321.84,-3.99
1065215000,321.85,-3.99
1065215000,321.86,-4.0
1065215000,321.87,-4.0
1065215000,321.88,-4.0
1065215000,321.89,-4.0
1065215000,321.9,-4.01
1065215000,321.91,-4.01
1065215000,321.92,-4.01
1065215000,321.93,-4.02
1065215000,321.94,-4.02
1065215000,321.95,-4.02
1065215000,321.96,-4.02
1065215000,321.97,-4.03
1065215000,321.98,-4.03
1065215000,321.99,-4.03
1065215000,322.0,-4.03
1065215000,322.01,-4.04
1065215000,322.02,-4.04
1065215000,322.03,-4.04
1065215000,322.04,-4.04
1065215000,322.05,-4.05
1065215000,322.06,-4.05
1065215000,322.07,-4.05
1065215000,322.08,-4.05
1065215000,322.09,-4.05
1065215000,322.1,-4.06
1065215000,322.11,-4.06
1065215000,322.12,-4.06
1065215000,322.13,-4.06
1065215000,322.14,-4.06
1065215000,322.15,-4.07
1065215000,322.16,-4.07
1065215000,322.17,-4.07
1065215000,322.18,-4.07
1065215000,322.19,-4.07
1065215000,322.2,-4.08
1065215000,322.21,-4.08
1065215000,322.22,-4.08
1065215000,322.23,-4.08
1065215000,322.24,-4.08
1065215000,322.25,-4.09
1065215000,322.26,-4.09
1065215000,322.27,-4.09
1065215000,322.28,-4.09
1065215000,322.29,-4.09
1065215000,322.3,-4.09
1065215000,322.31,-4.1
1065215000,322.32,-4.1
1065215000,322.33,-4.1
1065215000,322.34,-4.1
1065215000,322.35,-4.1
1065215000,322.36,-4.1
1065215000,322.37,-4.1
1065215000,322.38,-4.11
1065215000,322.39,-4.11
1065215000,322.4,-4.11
1065215000,322.41,-4.11
1065215000,322.42,-4.11
1065215000,322.43,-4.11
1065215000,322.44,-4.11
1065215000,322.45,-4.11
1065215000,322.46,-4.11
1065215000,322.47,-4.12
1065215000,322.48,-4.12
1065215000,322.49,-4.12
1065215000,322.5,-4.12
1065215000,322.51,-4.12
1065215000,322.52,-4.12
1065215000,322.53,-4.12
1065215000,322.54,-4.12
1065215000,322.55,-4.12
1065215000,322.56,-4.12
1065215000,322.57,-4.12
1065215000,322.58,-4.13
1065215000,322.59,-4.13
1065215000,322.6,-4.13
1065215000,322.61,-4.13
1065215000,322.62,-4.13
1065215000,322.63,-4.13
1065215000,322.64,-4.13
1065215000,322.65,-4.13
1065215000,322.66,-4.13
1065215000,322.67,-4.13
1065215000,322.68,-4.13
1065215000,322.69,-4.13
1065215000,322.7,-4.13
1065215000,322.71,-4.13
1065215000,322.72,-4.13
1065215000,322.73,-4.13
1065215000,322.74,-4.13
1065215000,322.75,-4.13
1065215000,322.76,-4.13
1065215000,322.77,-4.13
1065215000,322.78,-4.13
1065215000,322.79,-4.13
1065215000,322.8,-4.13
1065215000,322.81,-4.13
1065215000,322.82,-4.13
1065215000,322.83,-4.13
1065215000,322.84,-4.13
1065215000,322.85,-4.13
1065215000,322.86,-4.13
1065215000,322.87,-4.13
1065215000,322.88,-4.13
1065215000,322.89,-4.13
1065215000,322.9,-4.13
1065215000,322.91,-4.13
1065215000,322.92,-4.13
1065215000,322.93,-4.13
1065215000,322.94,-4.13
1065215000,322.95,-4.13
1065215000,322.96,-4.13
1065215000,322.97,-4.13
1065215000,322.98,-4.13
1065215000,322.99,-4.13
1065215000,323.0,-4.13
1065215000,323.01,-4.13
1065215000,323.02,-4.13
1065215000,323.03,-4.13
1065215000,323.04,-4.13
1065215000,323.05,-4.13
1065215000,323.06,-4.13
1065215000,323.07,-4.13
1065215000,323.08,-4.13
1065215000,323.09,-4.13
1065215000,323.1,-4.13
1065215000,323.11,-4.12
1065215000,323.12,-4.12
1065215000,323.13,-4.12
1065215000,323.14,-4.12
1065215000,323.15,-4.12
1065215000,323.16,-4.12
1065215000,323.17,-4.12
1065215000,323.18,-4.12
1065215000,323.19,-4.12
1065215000,323.2,-4.12
1065215000,323.21,-4.12
1065215000,323.22,-4.12
1065215000,323.23,-4.11
1065215000,323.24,-4.11
1065215000,323.25,-4.11
1065215000,323.26,-4.11
1065215000,323.27,-4.11
1065215000,323.28,-4.11
1065215000,323.29,-4.11
1065215000,323.3,-4.11
1065215000,323.31,-4.1
1065215000,323.32,-4.1
1065215000,323.33,-4.1
1065215000,323.34,-4.1
1065215000,323.35,-4.1
1065215000,323.36,-4.1
1065215000,323.37,-4.1
1065215000,323.38,-4.1
1065215000,323.39,-4.09
1065215000,323.4,-4.09
1065215000,323.41,-4.09
1065215000,323.42,-4.09
1065215000,323.43,-4.09
1065215000,323.44,-4.09
1065215000,323.45,-4.09
1065215000,323.46,-4.08
1065215000,323.47,-4.08
1065215000,323.48,-4.08
1065215000,323.49,-4.08
1065215000,323.5,-4.08
1065215000,323.51,-4.08
1065215000,323.52,-4.07
1065215000,323.53,-4.07
1065215000,323.54,-4.07
1065215000,323.55,-4.07
1065215000,323.56,-4.07
1065215000,323.57,-4.06
1065215000,323.58,-4.06
1065215000,323.59,-4.06
1065215000,323.6,-4.06
1065215000,323.61,-4.06
1065215000,323.62,-4.05
1065215000,323.63,-4.05
1065215000,323.64,-4.05
1065215000,323.65,-4.05
1065215000,323.66,-4.05
1065215000,323.67,-4.04
1065215000,323.68,-4.04
1065215000,323.69,-4.04
1065215000,323.7,-4.04
1065215000,323.71,-4.04
1065215000,323.72,-4.03
1065215000,323.73,-4.03
1065215000,323.74,-4.03
1065215000,323.75,-4.03
